dav,swa
Waghoree diwonana sena mori ghuchaa,Alisema tutaonana tena mwezi ujao
Nechi ini nadashinika seji uko na ngolo iboie,Hata mimi hushangaa vile alivyo na roho safi
Waduaa ulale mpaka sa iri,Bado amelala mpaka saa hizi
Sikunde mndwawomi ungi uko ighade,Sitaki mume mwenye ni goigoi
Da niko navika robo ya chaghu,Sasa ndo nimefika robo ya kazi
Zakayo wazidi kuenjesha matatu yape kisaya,Zakayo amezidi na kupeleka gari lake vibaya
Kuoghoshe momu kukaogha.,Uoshe mdomo ukioga
Kora modo kudeke mngulu.,Washa moto upike maharagwe.
Kwaki kusuweseraa maghi kughuo?,Kwanini usingoje mayai ununue.
Kwaweenja baisikeli na iseghe nandighi,Unapeleka
Mwarigha wadalegheria na chenji ra wandu.,Mwarigha hukataa kurudishia watu pesa zao
Lughongo lwa josa loka lulacha tiki,Mlima wa josa ni mrefu sana
Koshi rose raenda na Elkana mbuwenyi.,Mbwa zote zimeenda na Elkana shambani.
Tabia ra awa wana radilema isi,Tabia za hawa watoto zimenishinda
Iguo mwajie mabemba gha wandu.,Jana mulikula mahindi ya wenyewe
Mngulu wanonwa ni machi putu,Maharagwe imeharibiwa na maji kabisa.
Kuseseke sa ikelu,Usicheke kama wazimu.
Kwadunga vindo mwachaka ubirie shuu,Umeeka chakula pilipili kali sana
Leka fondea vindo kumangwa,Wacha kueka chakula mingi kwa mdomo utasakamwa
Mkulindie na wandu winywagha chofi,Mjilinde na watu wanokunywa pombe
Mao wapo nio unitesiagha na magome,Mama yangu ndo hua ananisaidia na pesa
Kwawededanya na ani irikonyi na koka kueka,Unaongea na nani jikoni na uko pekeyako
Nedoenja Agatha mariwenyi.,Nilikuwa ninapeleka Agatha kwa maziwa.
Vindo vadajighwa viko va modo,Chakula huliwa ikiwa moto
Iruwa jakala shuu hata ndekuendagha andu kungi,Jua limekua kali ata huezi enda mahali
Marughu ghose ghawurwa,Ndizi zote zimeiva
Ujha mwai ughokie olowolwa.,Yule msichana mrembo aliolewa.
Kwareda mumbi shuu.,Umeleta mwili sana.
Wana wikacha kufuma skulu kuwineke machi wioghe.,Watoto wakikuja kutoka shuleni wapatie maji waoge.
Sina kilambo chingi cheghora kwa itanaa,Sina chochote cha kusema kwa sasa
Kesho nadima nipate kilambo chingi?,Kesho naeza kitu kidogo?
Kwarashua kipande naki?,Umerarua kaptura na nini?
Kosinda shereta maghonyi,Ulikua unateleza kwa mawe
Nedeenda kuzurumia moda ghwa mwakajo,Nilikua nimeenda kuogelea mto wa mwakajo
Chovu raweja manga na kunona mabemba mbuwenyi.,Ndovu zinzkula mihogo na kuharibu mahindi shambani
Mwatulituli wapo walegha kuduma magome,Simu yangu imekataa kutuma pesa
Siwecha kwa ikwanyiko jingi,Siendi kwa mkutano wowote
Nalumwa ni rwai ra wushu,Nimeumwa na mbu za uso
John walumwa ni koshi saku rose iwi,John ameumwa na mbwa za miguu
Neko na wudumwa ghuboie.,Nikona ujumbe mzuri.
Kuseketima kufada aha kwaskira?,Usijaribu kufinya hapa umeskia?
Dideda masaa ghamu leka nibonye chaghu,Tutaongea masaa ingine sai acha nimalize kazi
Rama waweboisa luvuna lwake,Rama anatengeneza ua wake
Koka na ngolo ilue sa wusiri,Uko na roho chafu kama mashizi
Ini neka na maghesho mengi akilinyi,Niko na mafikira mengi akilini mwangu
Shoa nyororo kufunge koshi,Chukua nyororo ufunge mbwa
Kwaneka koshi vindo?,Umepea mbwa chakula?
Boi onyea nyumba sikunde kumwona sena.,Paka alikunya kwa nyumba ata sitaki kumuona tena
Siwuadie igome jingi.,Sina hata pesa
Napoilwa kumanya agho,Nimefurahia kujuwa hayo.
Kwawuadie namba ya mruna mayo ngera?,Uko na namba ya shangazi yako labda?
Siwuyagha ghorea mndungi shida rapo,Sitarudi kuambia mtu shida zangu
Nedekuwa Zablon uko mwana mtini,Nilimpata Zblon akiwa mtoto mdogo.
Wandu wa ikanisa wawecha kwapo idime,Watu wa kanisa wanakuja kwangu leo
Nawelumwa ni moyo ngera naja kii,Nimechafuka roho sijui nimekula nini
Nawejisuwa mumbi mlazi simanya nikii.,Najikuna mwili wote sijui kisa ni nini
Kaidia sokonyi kudo vitunguo,Ukipitia sokoni ubebe vitiunguu
Leka idime nideka putu,Acha leo ntapika
Nawilelie shuu.,Niliwalea sana.
Necha churikia nendepata Nelly,Nilianza kuongeza nilipopata Nelly.
Kodelala kaidwa ni igare,Ulilala ukapitishwa na gari
Mao kuche kwapo nawekunda dije malagho,Mama ukuje kwangu nataka tuongee
Mwana wako waghaluka hata malagho ndeuwesikira.,Mtoto wako amegeuka ata hasikii maneno
Walegha ndeujaa vindo vapo ivi nadeka,Amekataa kula chakula nilichopika
Wana wamu wedeka watini.,Watoto wengine walikuwa wadogo.
Kedu ni Mwandaa.,Kwetu ni Mwandaa.
Nedeka mwana itanaa nazoghua.,Nilikuwa mtoto sasa hivi nimekuwa mkubwa
Kufuma nalowolwa sighalie mzedu,Tangu niolewe sijaenda nyumbani mwetu
Siwemanya chia eenda modenyi,Sijui njia ya kuenda mtoni
Mao waghora iruwa jikakaneng'ena dikaie mzinyi,Mama amesema jua linapotua tuwe tuko nyumbani
Nyungu yabarika na vindo vikadika,Chungu kimepasuka na chakula kikamwagika
Ghenda kudeme maghuwa diche dije.,Nenda ukakate miwa tuje tule
Vuma va luvuna vepotoka,Chuma za ua zimeanguka
Ija saa nafua niko vua inyaa,Mvua inanyesha saa zile nafua
Simanyaa nirwa kii nguwo reka ra machi,Sijui ntavaa nini nguo zako ziko baridi
Ghoroa ugho mvuto na pasi,Nyoosha hio suruaali na pasi
Weshona nguwo efwanane rose putu.,Walishona nguo za kufafanana wote
Wanisoka mkwachu ghwake,Ameninyanganya ukwaju wake
Vilamba vawecha gulwa idime,Mabuyu yanakuja kununuliwa leo
Choo dende kwasha mabemba,Njoo tukavune mahindi
Oshomea wudaktari.,Alisomea udaktari.
Sijie kilambo chingi kufuma ikwau,Sijala kitu tangu jana
Ini toe nadakufunyira nguwo ra mwana wako shighadi riome.,Mimi kila siku huwa ninatoa nguo za mtot wako nje zikauke.
Dikapata magome digua vilambo disena itanaha,Tukipata pesa tutanunua vitu ambavyo hatuna sai
Kamba ya mburi rapo yatakuka,kamba ya mbuzi zangu imekatika
Sikunde putu na vilambo vapo,Sitaki na vitu vyangu kabisa
Ini nekunda magome gheeenda wughangenyi.,Nataka pesa za kuenda Hospitalini
Pangusa iyo nguwo yadikilwa ni chai,Pangusa hio nguo imemwagikiwa na chai
Mndwawomi wako onywa chofi ukaenda nyumbenyi.,Mume wako alikunya pombe akaenda numbani.
Kuzighane wandu wikaiagha kavui na oho,Uangalie watu wenye wako karibu na wewe
Wasowa wutesia putu kufuma kwa waghenyi wake,Amekosa usaidizi kutoka kwa marafiki zake
Mae na ndee wadakaia Mombasa.,Mama na baba yake wanaishi Mombasa.
Nawelumwa ni kifu sana,Ninaumwa na tumbo sana.
Uhu mwai onikosera hata sidimagha kumfuya wughoma,Huyu msichana alinikosea ata siwezi kumsamehea
Ndedidedanyagha agha matuku,Siku hizi hua hatuongei
Huwu nawewesera seji konizerieghe,Bado nangoja vile ulikua umeniambia
Kila mundu ubonye ichi chamreda aha,Kila mtu afanye kilichomleta apa
Uhu mwana kwaki usewefunya kofia?,Huyu mtotokwanini hatoi kofia?
Mbeo yabia tiki kuro fulana,Baridi imekua mingi uvae fulana
Kwawusirwa ni jesu nicha,Umeamushwa vizuri na yesu
Mao wawenitesia kudaya machi modenyi,Mama ananisaidia kuteka maji mtoni.
Wuka dikote mana gha mabemba.,Amka tuchimbue mashimo ya kupanda mahindi
Dedefuma iyo nyumba kala koni,Tulihama hio nyumba kitambo sana
Koka ighade nandighi,Wewe ni mvivu sana
Diwaghe iji ifungu nusu,Tugawanye fungu hili nusu
Nesaghulwa nisimimamie ichi kijiji,Nilichaguliwa kusimamia kijiji hiki
Huwu dija kii maduka ghafungwa ghose?,Sasa tutakula nini maduka yamefungwa yote?
Kusetime kukaba uo mwana,Usijaribu kumchapa huyo mtoto
Ukakaia usenitumbulie ngera nibonya wada,Kama hajanijibu sijui ntafanya nini
Lola mbalambala dikore modo,Tafuta kuni tuwashe moto
Inyo wele mwadanitegemea ini tu?,Kwani nyinyi huwa munanitegemea mimi tu?
Kila mundu umanye moni siwetesia mndungi,Kila mtuatajua mwenyewe mimi simsaidii mtu
Kama koka na chia rako zima kusenitale,Kama uko na njia zako mimi usiniweke kwa mipango zako
Naweserie sana iji ituku jibuse,Nilingoja sana siku hii ifike
Naweenda kaba kura Ghazi,Ntaenda kupiga kura huko ghazi
Itamwaa kwafwanafwana iyo homa yedekumeria putu,Sai umekua afadhali hio homa ilikua imekushika sana
Da kuanika nguwo hao?,Sasa utaanika nguo wapi?
Nawendawa midi kiwachenyi kuramka,Naenda kupanda miti jumatatu uwanjani
Niki kwawesoda sa kichula?,Mbona unapumua kama chura?
Osinda niwingisa niko nakimbia nikawuya,Alikua nanifukuza ndo maana nimekimbia nikarudi
Sikunde kukulwa maghegho ni mndungi,Sitaki kutolewa meno na mtu
Kifula nguwo niko sherehe iko,Jumamosi ndio kuna sherehe
Mndungi usemkalie kwa madedo gha mikalo,Mtu asiwadanganye kwa maneno ya ukali
Naboilwa nawona seji mwaweendelea nicha,Nimefurahi kuona wanavyoendelea vizuri
Mndungi usemlaghashe kwa chia iseboie,Mtu asiwapoteze kwa njia isyo nzuri
Ghaja marina koandikieghe chuonyi kughivute,Ufute yale majina uliyoandika kitabuni
Madedo ghenyu ghikaie gha mvono,Maongezi yenu yakue ya baraka
Leka nishingira vindo nisevikunde,Wacha kunilazimisha chakula sikitaki
Sea mboeri kusekecha shorodoka,Shuka polepole usije ukaanguka
Mwakumbuka seji disumbukie na ichi chaghu,Mnakumbuka tulivyoteseka na kazi hii
Bado ndenilipie magome ghapo,Bado hajanilipa pesa zangu
Ini nasilwa kukuwesera naweenda rapo,Mimi nmechoka kukungoja nimeenda
Miaka idadu itanaa na bado ndedilowoane,Miaka tatu sasa na bado hatujaoana
Jingi ndeuvae uwu waghosia,Hajawahi zaa ata amezeeka
Huwu kudumagha ani itamwaa na wana waenda skulu?,Sasa utamtuma nani sasa watoto washaenda shule?
Mndungi usenyavure agha machi ghialua,Mtu asivuruge maji haya
Kila mundu ukaie na mka wake kwa wueli na ishima,Kila mtu akae na bibi yake kwa heshima
Kusekaie na bea rizamie rekunda waka,Usikue na tamaa mbay aza kupenda wanawake
Kukamenya mayo na ndeyo kwawemenya Mlungu,Ukimdharau mama na baba yako umemdharau Mungu
Sharia eboa iji mundu waitumia nicha,Sheria ni nzuri mtu akiitumia ipasavyo
Wandu widawongia nakio,Watu hulewa usiku
Nakunde kuvoya kwa mlungu na kufunya chawucha,Nataka kujitoa kwa mungu na kutoa shukurani
Hata ndeughoree mae kama wawecha kwapo,Hakumwamwambia mama yake kama atakuja kwangu
Okunda kudikosanisha duu ini sina malagho ghangi,Anataka kutukosanisha bure mimi sina chuki yoyote
Kutesia wamzenyu niko kukulemie,Kusaidia watu wa kwenu ndo kulikushinda
Waka wiro nguwo ra ishima,Wanawake wavae nguo za heshima
Museluke maridia ghenyu putu,Musishuke nywele zenu
Ghenda kukunuo ijo iridia,Nenda ukanyoe hio nywele
Kwalua hata kwakaia sa mundu wa isu,Umechafuka ata unakaa mwenda wazimu
Musero nguwo ra zoghori mbaa,Musivae nguo za thamani kubwa
Namroghua mmbose moko mana?,Nimewasalimia watu wa kwetu muko wapi?
Mka ofwana ukaie kima imbiri ya mumi wake,Mwanamke anafaa kukaaa kimya mbele ya mume wake
Muka useneko rusa efundisha,Mwanamke asipewe nafasi ya kufundisha
Walimu wengi skulu ni wa waka,Walimu wengi shuleni ni wanawake
Mka ndenagha nafasi ingi imbiri ya mndwawomi,Mwanamke hua hana nafasi mbele ya mwanaume
Wamasai wadamenya waka wawo,Wamaasai hudharau bibi zao
Si nicha ingi kumkaba mkwako,Si vizuri kumpiga mkeo
Uhu no moni niche mpatira aha.,Huyu ni yeye nilikuja kumpatia hapa.
Waka ni suti wikaie wa loli,Wanawake ni shrti wakue waaminifu
Kumneke migho wako ishima,Umpe mume wako heshima
Nakio wose wawenitesia.,Usiku wote wananisaidia.
Sena mayo wachee dikaendanya mzedu,Tena mama yako alikuja tukaenda kwetu
Kwazaie kuja vindo pacha njala ikangia kushinika,Umezoea kula chakula nyingi sasa njaa ikiingia sijui tutafanya nini
Kusekekemea mghosi wapo huwo,Usimkee baba mkwe wangu
Mka usewango mkiwa usevikishire miaka mrongo randadu,Mke asiitwe mjane kama hajafikisha miaka sitini
Nawesikira naangua kweli,Najisikia mwepesi sana
Mao obia shuu,Mama nimkali sana.
Kukapata mwana kudakukora na machi gha modo,Ukipata mtoto utajichoma na maji ya moto
Kukushinge mavuda nicha mwai wapo,Ujipake mafuta vizuri msichana wangu
Wai wapo wazoghua shuu,Wasichsna wangu wamekua kweli
Nedekusigha kuko mtini shuu,Nilikuacha kama uko mdogo kweli
Oho si mruna Wanjala wa mwisho,Wewe si ndugu yake wanjala wa mwisho
Omoni ni mwalimu na olowolwa ni mwalimu,Yeye ni mwalimu na aliolewa na mwalimu
Kufuma waenda cha kireti ndegalie,Kutoka aende mjini hajarudi nyumbani
Sikundagha kurashana na wandu ini,Sipendi kugombezana na watu
Kwawekukasa na ndekuichi kilambo chingi,Unajiringa na haujui kitu chochote.
Ndedichee na kilambo chingi wurumwengunyi,Hatukuja na kitu ulimwenguni
Nakorwa ni maka gha modo,Nimechomwa na makaa ya moto
Kwafwane kuneko iyo zawadi,Unafaa kupewa zawadi hio
Hata dikafuma ndedidukagha kindo chingi,Hata tukitoka hatutabeba chochote
Kwaki nikudumikie huwu kama sikukunde,Kwanini nikutumikie hivi kama sikupendi
Wuka kudeke kusekedia mbori ra tee aho,Amka upike usimwage machozi ya bure hapo
Mpango ghwako ghonivavira ghofeli,Mipango yako ya kuniumiza umefeli
Jaa vindo kukaie na ndighi mwanapo,Mwanangu kula chakula ukue na nguvu
Defuma mzi ghumweri na oho,Tulitoka mji mmoja na wewe
Matuku gha kutua mbai ghawecha,Siku za mwisho zaja
Kwaki kwanyama huwu kwaweghesha kii?,Kwanini umenyamaza hivi unafikiria nini?
Msakesarigha kula na aha,Msicheze mmbali na hapa
Duka lufu na maghembe diende mbuwenyi,Beba panga na jembe tuende shamani
Isoka jakala jedema mbande,Shoka limekua kali la kukata kuni
Weke mwana nibonya wada ini?,Jamani mimi nitafanya nini?
Vindo vaka ghali.,Chakula kimekuwa na bei.
Uhu ndeukunde mashomo,Huyu hataku kusoma
Kwawebonya kii itanaa?,Unafanya nini sasa?
Kwasinda wada idimei?,Umeshinda aje leo
Matuku ghichacha walodi wa tee wichafuma.,Kuna siku manabii wa uongo watajitokeza
Mndwawomi ofwana ukaie na mka umweri,Mume anafaa kua na bibi mmoja
Kukaieghe mundu okaribisha wandu,Ukue mtu wa kukaribisha watu
Kabla difunyire wushuhuda nani uko mghenyi aha?,Kabla tutoe ushuhuda nani mgeni hapa?
Kwawewesera hao igare jeenda mzenyu?,Unangojea wapi gari lakuenda kwenu?
Endenyi mlole mbogha diche dideke,Nendeni mkatafute mboga tuje tupike
Nekunda kudedanya na ndeyo fuma chashighadi,Nenda nje nataka kuongea na baba yako
Waka wose weka na mzigo,Wanawake wote wako na mimba
Walaswa na igho jha gambili,Amegognwa na jiwe la usoni
Ozoya kudaika pagha na ukafwa,Alianza kutapika damu kisha akafa
Kumaramara ndekuboie wana wapo,Kuzunguka hakupendezi wanangu
Magare ghaweendeshwa na iseghe sana,Gari zinaendeshwa kwa kasi sana
Barabara raboisiro rose putu,Barabara zimetengezwa zote
Fuma chienyi kubarie wandu wabaa wiide,Toka njiani upishe watu wazima wapite
Mavuda gha igare ghejoka bei,Mafuta ya gari yamepanda bei
Tikiti reghala rechurilwa ikwau,Nauli ya kuenda nyumani iliongezewa jana
Kwanivavira mghongo na mzata,Umeniumiza mgongo na mkongojo
Momu ghwako ghwafuma ghukatinika,Mdomo wako umekua mwekundu
Nguku yava maghi enda kughishoo,Kuku imetaga mayai nenda ukayachukue
Chumbi chasia mkebenyi,Chumvi imeisha kwenye mkebe
Kaba maghegho mswaki angu kufume aha,Piga meno mswaki ama utoke hapa
Kila mundu uoghoshe bakuli na kikombe chake,Kila mtu aoshe kikombe na bakuli yake
Kwabara kifumbbi cha ndeo,Umepasua kiti cha baba yako
Nabwaghwa ni dilo ini,Nahisi usingizi sana
Nikalala nikawuka niko niendeleagha,Nikilala nikiamuka ndipo nitaendelea
Wika kiriba shighadi,Weka mtungi nje.
Irinda japo ni jeenda ikanisenyi,Rinda langu ni la kuenda kanisani
Kwarwa nguwo vui sana,Umevaa nguo fupi sana
Nguwo rapo rasighwa kutineri riome,Nguo zangu zimebaki kidogo zikauke
Kora modo diode dikiocha mbemba,Washa moto tuote kama tunachma mahindi
Uhu mka wareda mwana nyumbenyi,Huyu mwanamke ameleta mtoto nyumbani
Nedoghesha ihi nyumba ni mbaha sana,Nilikua ninadhania hii nyumba ni kunwkubwa sana
Dazerwa wei dikwane saa ikumi,Tumeambiwa tupatane asubuhi
Nedeenjwa Mbale ikwau.,Nilipelekwa Mbale usiku
Nekunda iruwa jifume jikalie shuu,Nataka jua litoke kali sana
Ini nifuye mundu manongo ghake?,Mimi nifulie mtu makamasi yake
Kwawedia masama tiki lola kitambaa,Unamwaga makamasi tafuta kitambaa
Najie magome gha wandu ngera nighifunya hao,Nilikula pesa za watu sijui nitazitoa wapi
Kujipange nawekuenja mzedu lawuke,Ujipange nitakupeleka kwetu kesho kutwa
Seka tu ni angu kusewemanya matokeo,Cheka tu ni vile haujui matokeo
Kwamanya ichi Kidawida cha mzedu chaweenda chikisia?,Unajuwa Kitaita yetu inaeenda ikiisha?
Mnyango ghwapo ni ghwa chuma,Mlango wangu ni wa chuma
Neseria vifumbi vose viwi mpaka nikabusa,Niliketi kwa viti vyote viwili mpaka tukafika
Machi ghawefuma ghiko gha chilu,Maji yanatoka yakiwa meusi
Nesighana na chofi putu.,Niliachana na pombe kabisa
Leka kutini nije kwaza,Wacha kidogo nile kwanza
Niwada sena kwarumbuka momu uwu?,Ni nini tena umekunja mdomo hivi?
Choo kunishinge mavuda chongo,Njoo unipake mafuta kwa kichwa
Waenda hata usenighorie,Ameenda kama hajaniambia
Ini simkotiagha kama wawona unyame hata ini nanyama,Mimi sitamuuliza kama ameamua kunyamaza ata mimi nanyamaza
Chawucha kwa kuhoresha.,Asanti kwa kupona.
Nalumwa ni safu ra bara,Nimeumwana siafu za paja
Kwaki kwakora taa nadime?,Mbona umewasha taa mchana?
Nywaa ndembe rako kusekeliwa,Kunywa tembe zako usije ukasahau
Dakaia mwaka mlazi disededanye,Tumekaa mwaka wote kama hatuongei
Koko binana awai wapo ni ngelo ndacha disededanye?,Uko mzima mpendwa ni kitambo tangu tuongee?
Kukajokwa ni machu kofuma shighadi kuweto ni mbeo.,Ukipandwa na hasira unatoka nje upigwe na upepo
Kusebonye malaghiro ghangi kuko na machu,Usimfanye maamuzi yoyote ukiwa na hasira
Waghesha wei sidima kumzera uinjike.,Alifikiria yakwamba siwezi mwambia atoke.
Ukakoja uwuya moni ainyaa.,Akichoka atarudi mwenyewe hapa
Siwonie mao wa wubaptizo kafwani.,Sijamuona mama yangu wa ubatizo karibuni
Bishop wawecha wikiria wandu mikonu karandadu,Kasisi anakuja kuekelea watu mikono
Kakacha kuduke sukari edesia nyumbenyi,Ukija ubebe sukari iliisha nyubani
Leka nimghorie niwone ughora wada,Acha nimuambie nione atasemaje
Hata inimoni siwewona nikibusa aha waghora,Ata mimi sioni nikifika penye alisema
Nasilwa nandighi diwurie anyaha,Nimechoka sana turudie hapa
Angu kupatire magome ndekuwewoneka,Kutoka upate pesa hauonekani.
Ini bado nawashoma.,Mimi bado ninasoma.
Wareda mwana wa mruna mzinyi.,Alileta mtoto wa ndugu yake nyumbani
Mlamba ghwafunya maua ghighokie,Mbuyu umetoa maua yanayopendeza
Kwaja chakule putu oho,Umekula kucha zote wewe.
Siendie choronyi matuku adadu itanaa,Sijaenda choo siku tatu sasa
Nawadia mazozo hata vadu vatakuka,Nimekanyaga matope ata viatu zimekatika
Funga mfereji machi ghachua,Funga mfereji machi yamekauka
Mbuwa yawo yeka aisaa,Shamba lao liko kule.
Kwadeka isaa ilazi.,Umepika lisaa limoja.
Koshi yako yanyelwa yawenuka kiwiwi.,Mbwa yako imenyeshwa na mvua inanuka vibaya
Ngera niki chifue ikorongenyi kwawenuka kiwora,Nini ilikufa korongoni kunanuka muozo hivyo
Nguwo rako rija kwaoghosha rapotoka.,Nguo zako zenye umefua zimeanguka
Siwunjire mfagio ghwa wandu ghuja nilombieghe.,Sijarudisha ufagio yenye nilikua nimeomba
Ndedaweroghuana na omoni.,Hatusalimiani na yeye
Uwu kwaki kwaweketi andonyi?,Sasa kwanini unaketi chini?
Leka nona mbogha mana kujaa msara mduu,Acha kuharibu mboga maana utakula sima pekeyake
Mfagio ghwa nyasi ghwadafagia nicha,Ufagio wa nyasi hufagia vizuri
Lukundo lwake lwanimeria ndighi,Mapenzi yake yamenimaliza sana
Nawesikira natatizika sana kimaghesho,Najisikia nikiwa nimetatizika akili
Koka mundu wawenitesia kumlola.,Kuna mtu ananisaidia kumtafuta.
Kwaweshomea kii skulu?,Unasomea nini shuleni?
Awa wana wilelwa nani?,Hawa watoto watalewa na nani?
Mwaluma waendie hao?,Mwaluma alienda wapi?
Olowolwa ni ighosi jikatane na ndee,Aliolewa na mzee aliyetoshana miaka na baba yake
Ini mpaka nilowolo na harusi.,Mimi mpaka niolewe na harusi
Wadaniwanga mao.,Hua ananiita mama.
Hae hae mwanidu kuhoresha putu.,Pole sasa ndugu yangu utapona tu
Mbogha rake radafuma Mghambonyi,Mboga zake hua zitatoka mghambonyi
Oja vilambo veuza moni ngera nani ulipagha,Alikula vitu za kuuza mwenyewe sijui nani atalipa
Vilole viwi nyumbenyi ni va indoki?,Vioo viwili kwa nyumba ni za nini
Wughanga ghwa mburi ni malemba.,Dawa ya mbuzi ni matawi
Kwaghaluka putu.,Umebadilika sana.
Namzera uche.,Nimemuambia aje.
Mwakesi nuo odukagha maka na pikipiki,Mwakesi ndie anayebeba makaa na pikipiki
Ghenda nagho lakini kuniwunjire magunia ghapo.,Nenda nayo lakini uyarudishe magunia yangu
Kwabonyere makosa.,Umefanya makosa.
Mswara ghwawurwa.,Sima imeiva.
Siweobua kilambo chingi ini.,Siogopi kitu chochote mimi.
Leka dineke awaje wawekunda,Wacha tupatie wale wanataka.
Iruwa hejo jafuma.,Jua ndio hio imetoka
Oka mka umu wa Mlechi ubonyagha aje.,Kuna mwanamke mmoja wa Mlechi hufanya pale.
Nedeghesha neka nieka.,Nimefikiria niko peke yangu.
Mwadabonya msarigho na mwawona vua yawenya.,Munafanya mchezo na munaona mvua inanyesha.
Mbeu ya manga yesia mpaka diguo zima,Mbegu ya mihogo iliisha hadi tununue ingine
Aggy waida chia rake uwo,Aggy amepita na njia zake hivyo
Iridia jake janyelwa ni vua,Nywele yake imenyeshewa na mvua
Munilolie mkowa nifunge nguwo yapo,Munitafutie mshipi nifunge nguo yangu.
Saa rimu kazerwa malagho kusikireghee.,Sa zingine ukiambiwa maneno usikie.
Nani wakuzera kukame mnyinya?,Nani amekuambia ukamue mchunga
Wawerashwa ni ndee.,Anateteshwa na baba yake.
Kwa agho ghose munighorie nasikire putu.,Kwa yale yote mmeniambia nimesikia
Kwaogha saa ilinga na sikuwonie kukidaya machi?,Ulioga saa ngapi na sijakuona ukiteka maji?
Koka na vunyu ra kifu,Uko na minyoo kwa tumbo
Mwawu lola magome lukundo ndeluko.,Ami tafuta pesa hakuna upendo
Machi ghesia modenyi wandu wawedaya kisimenyi.,Maji yaliisha kwa mto watu wangu
Ikanisa jabomolwa mabamba jose putu,Kanisa imebomolewa mabati yote
Kukakaia na magome lukundo lucha putu,Ukikuwa na pesa upendo utakuja tu
Namwenjera barua ukaghora uninekaa matumbulio kuramka kawi,Nilimpelekea barua akasema atanipea majibu jumanne
Nawona marina ghawo,Nimeona majina yao.
Kakaba mayo angu ndeyo kuawuadwa ni njowe.,Ukipiga mama au baba yako utapatwa na laana
Ikanisa jawuduka kwa wundu ghwa vua,kanisa imeanguka kwa sababu ya mvua
Necha na igare iwishi ikwau,Nilikuja na gari mpya jana
Nekunda makoti ini mbeo yabia aha.,Nataka makoti baridi imezidi hapa
Seji dawededanya huwu vua yawenya.,Vile tunaongea saa hii mvua inanyesha
Shoa mwana wawelila.,Chukua mtoto analia.
Wasinde legha sena ocha kaingia.,Alikuwa anakataa lakini amekuja akaingia
Mduke ionge uwone mbai na mbai.,Mbebe kwa mabenga aone pande na pande
Sinda mana na kunikabie mwatulituli,Ushinde salama na unipigie simu
Choo kuduke mwana wako wapotoka.,Njoo ubebe mtoto wako ameanguka.
Aba wa mlungunyi kwadima ghose,Baba wa mbinguni anaweza yote
Naweshinika wana wa icho walowoe putu.,Nashangaa sana watoto wa juzi wameshaoa
Kwawona seji Ana wakutesia?,Umeona vile Ana amekusaidia?
Olowoa ukalekerea mwai uende.,Alioa akawachilia bibi aende.
Wadawida wose chonyi aha,Wataita wote kujeni apa
Ihi chia ni ndacha sana,Hii njia ni mrefu sana
Enja ng'ombe modenyi rinyo machi,Peleka ng'ombe kwa mto zikunywe maji
Kuneko nguma na makaso Aba.,Upewe sifa na ushuhuda Bwana
Baa kitini kuchumba kibaa,Afadhali kidogo kuliko kikubwa.
Ini nazughwa na mbenyi waghuda.,Mimi nahisi njaa na mwezangu ameshiba
Nakucha nguwo rapo putu.,Nimekuja nguo zangu kabisa
Bea yazamie ndeipoie putu.,Ulafi ni mbaya haufai kabisa
Ndekuna chingi chilemagha kwa Jesu.,Hakuna chenye huwa kinashida kwa Yesu
Joka wulinyi kulale nisekukabe duu,Panda kwa kitanda ulale usipigwe bure
Oka nyumbenyi kwapo.,Yuko nyumbani kwangu.
Mwatulituli wapo wasia modo,Simu yangu imeisha moto
Oka na mumbi.,Yuko na mwili.
Hata kuje vindo vighane wada ndekubandagha kungi.,Ata ukule chakula inatoshana aje huwezi nona
Waghora wei niende kwake dije malagho,Amesema twende kwake tukafanye maongezi
Siwekunda ini na oho dikaie na malagho ghangi.,Sitaki mimi na wewe tukue na maneno yoyote.
Koka msung'use shuu.,Wewe ni mwembamba sana.
Wasighwa ni igare iji usinde enda najo.,Ameachwa na hiyo gari alikuwa anaenda nayo
Soghoda karibu na omoni.,Songe karibu naye.
Sina mengi gheghamba msinde na Jesu,Sina mengi ya kusema mshinde na Yesu
Ulu lughongo lokunda mundu ujie,Huu mlima unataka mtu ameshiba
Kufuma ija saa nakusigha kulale bado ndekuwukie?,Kutoka nikuache ukiwa umelala bado hujaamka?
Opata magome ukagala mzawo,Alipata pesa akaenda kwao.
Kila mundu waweweseria ghaja ughoragha.,Kila mtu anangojea kile atasema
Kutesie wanyinyu na weweni wiendelie.,Usaidie ndugu zako pia wao waendelee
Ini nawetambwa seji nimkotiagha.,Mimi nashindwa vile nitamuuliza
Nimkabiaa simu nyuma unidumie magome.,Nitampigia simu baadae anitumie pesa
Necha na mkate ikwau dinyo nagho chai.,Nilikuja na mkate jana tukunywe nao chai
Nakuwangieghe kufum koimbe.,Nilikuita kutoka kitambo.
Nadaobua magare.,Ninaogopa magari.
Ngolo yapo yadamkasa Jesu.,Moyo wangu unamtukuza Yesu.
Sidimagha kuoghosha vilambo,Sitaweza kuosha viombo.
Mwana wapata mariwa?,Mtoto amepata maziwa?
Skulu rafungilo wiki isirie.,Shule zilifungwa wiki iliyopita
Kwende kuroghue wawayo angu skulu rifungilo.,Uende ukasalimie nyanya yako kwa maana shule zimefungwa
